Kelvin Benjamin&WR$CAR
Jay Cutler&QB$CHI
Devin Hester&WR$ATL
Demaryius Thomas&WR$DEN
Josh Brown&K$NYG
Corey Graham&DB$BUF
Marques Colston&WR$NO
Danny Amendola&WR$NE
Ryan Tannehill&QB$MIA
Jeremiah Attaochu&LB$SD
Coby Fleener&TE$IND
Shaun Draughn&RB$SF
Charles Tillman&DB$CAR
Carlos Hyde&RB$SF
Tre Mason&RB$STL
Matt Forte&RB$CHI
Eric Kendricks&LB$MIN
Dwayne Allen&TE$IND
Linval Joseph&DL$MIN
Timmy Jernigan&DL$BAL
Paul Posluszny&LB$JAC
Mark Ingram&RB$NO
Jason Witten&TE$DAL
Nelson Agholor&WR$PHI
Kyle Williams&DL$BUF
Morgan Burnett&DB$GB
Kurt Coleman&DB$CAR
Joe Haden&DB$CLE
A.J. Green&WR$CIN
Telvin Smith&LB$JAC
Rob Gronkowski&TE$NE
DeAndre Levy&LB$DET
Josh Gordon&WR$CLE
Cliff Avril&DL$SEA
Brandon Marshall&LB$DEN
Drew Brees&QB$NO
Will Hill&DB$BAL
T.J. Yeldon&RB$JAC
Dion Lewis&RB$NE
Aqib Talib&DB$DEN
Walter Thurmond&DB$PHI
Danny Trevathan&LB$DEN
Marcus Mariota&QB$TEN
Victor Cruz&WR$NYG
Chris Conte&DB$TB
Charcandrick West&RB$KC
Stephone Anthony&LB$NO
Justin Houston&LB$KC
Manti Te'o&LB$SD
Demario Davis&LB$NYJ
Muhammad Wilkerson&DL$NYJ
Jeremy Hill&RB$CIN
Darren Sproles&RB$PHI
Steve Smith&WR$BAL
Sam Bradford&QB$PHI
Malcolm Jenkins&DB$PHI
Von Miller&LB$DEN
Chris Long&DL$STL
Jamie Collins&LB$NE
Malik Jackson&DL$DEN
Greg Hardy&DL$DAL
Latavius Murray&RB$OAK
Demarcus Lawrence&DL$DAL
Calais Campbell&DL$ARI
William Moore&DB$ATL
Kerry Wynn&DL$NYG
Jeremy Maclin&WR$KC
Donte Moncrief&WR$IND
Matt Prater&K$DET
Brandin Cooks&WR$NO
Sebastian Janikowski&K$OAK
Cody Latimer&WR$DEN
Le'Veon Bell&RB$PIT
Ronnie Hillman&RB$DEN
Antoine Bethea&DB$SF
Chris Johnson&RB$ARI
Hau'oli Kikaha&LB$NO
Marquess Wilson&WR$CHI
Darren McFadden&RB$DAL
Ameer Abdullah&RB$DET
Jordan Cameron&TE$MIA
Andrew Luck&QB$IND
Kamar Aiken&WR$BAL
Kiko Alonso&LB$PHI
Alfred Morris&RB$WAS
Brian Orakpo&LB$TEN
Sammy Watkins&WR$BUF
Terrell Suggs&LB$BAL
James Harrison&LB$PIT
Bryce Brown&RB$SEA
Markus Wheaton&WR$PIT
Ndamukong Suh&DL$MIA
