QB Aaron Rodgers	WR A.J. Green	QB Peyton Manning	QB Andrew Luck	RB Adrian Peterson	QB Drew Brees	QB Tom Brady	QB Russell Wilson
RB Jamaal Charles	RB Marshawn Lynch	TE Rob Gronkowski	RB Arian Foster	RB Le'Veon Bell	QB Ben Roethlisberger	RB Eddie Lacy	DL J.J. Watt
WR Antonio Brown	QB Cam Newton	WR Dez Bryant	RB CJ Anderson	QB Matt Ryan	WR Julio Jones	WR Jeremy Maclin	TE Jimmy Graham
WR Calvin Johnson	WR Demaryius Thomas	RB Jeremy Hill	WR Odell Beckham	QB Tony Romo	RB Matt Forte	WR Amari Cooper	QB Matthew Stafford
RB Demarco Murray	WR Alshon Jeffery	RB Lesean McCoy	RB Frank Gore	WR Mike Evans	RB Mark Ingram	WR Keenan Allen	WR Victory Cruz
RB Justin Forsett	RB Lamar Miller	WR Emmanuel Sanders	WR Randall Cobb	WR Jordan Matthews	WR TY Hilton	RB LaGarrette Blount	WR DeSean Jackson
WR Davante Adams	QB Ryan Tannehill	WR Brandin Cooks	RB Latavius Murray	RB Melvin Gordon	WR DeAndre Hopkins	WR Charles Johnson	WR Julian Edelman
RB Alfred Morris	LB Lavonte David	WR Golden Tate	WR Brandon Marshall	K Stephen Gostkowski	WR Andre Johnson	QB Ryan Fitzpatrick	LB Luke Kuechly
TE Travis Kelce	DB Harrison Smith	RB Joseph Randle	WR Sammy Watkins	WR Mike Wallace	WR Jarvis Landry	LB Bobby Wagner	DL Terrell Suggs
QB Eli Manning	DL Calais Campbell	QB Philip Rivers	RB Alfred Blue	LB DeAndre Levy	TE Greg Olsen	DL Robert Quinn	DB Richard Sherman
DL Everson Griffen	K Cody Parkey	WR Vincent Jackson	QB Sam Bradford	WR Anquan Boldin	K Adam Vinatieri 	DL Aaron Donald	RB Todd Gurley
LB Ryan Kerrigan	DL Carlos Dunlap	RB Jonathan Stewart	RB CJ Spiller	LB CJ Mosley	DL Chandler Jones	LB Justin Houston	LB Khalil Mack
LB Clay Matthews	RB Andre Ellington	RB Carlos Hyde	RB Ameer Abdullah	LB Stephan Anthony	LB Alec Ogletree	TE Dwayne Allen	RB Giovani Bernard
DL Mario Williams	TE Martellus Bennett	DL Ndamukong Suh	WR Martavis Bryant	RB Tevin Coleman	LB Jamie Collins	LB Eric Kendricks	DB Joe Haden
LB Von Miller	RB Isiah Crowell	LB Connor Barwin	TE Jason Witten	TE Zach Ertz	LB Carlos Dansby	WR Marques Colston	DL DeMarcus Ware
DL Rob Ninkovich	LB Brandon Marshall	DL Jerry Hughes	DB Jairus Byrd	DL Mohammad Wilkerson	DB Eric Weddle	DL Leonard Williams	DB Darrelle Revis
QB Joe Flacco	DB Morgan Burnett	QB Carson Palmer	LB Paul Posluzny	DB Reshad Jones	DB Jonathan Cyprien	DL Justin Tuck	WR Devin Hester
LB DQwell Jackson	LB Navarro Bowman	WR Allen Robinson	LB Brian Orakpo	QB Teddy Bridgewater	DL Cameron Jordan	DB Deone Bucannon	QB Colin Kaepernick
LB Paul Worrilow	DB Tyrann Mathieu	DL Ezekiel Ansah	LB Kiko Alsonso	LB Curtis Lofton	DL Fletcher Cox	LB Jerrell Freeman	WR Roddy White
RB Joique Bell	DL Jason -Pierre-Paul	LB Sean Lee	DL Michael Bennett	DL Olivier Vernon	DL Kyle Williams	DB DJ Swearinger	WR Steve Smith Sr.
DB TJ McDonald	QB Marcus Mariota	DB Michael Griffen	DL Timmy Jernigan	LB Demario Davis	RB Rashad Jennings	WR Danny Amendola	DL Dontari Poe
DL Geno Atkins	DL Cameron Wake	LB Jerod Mayo	DB Kam Chancellor	DB Earl Thomas	WR Torrey Smith	QB Jay Cutler	LB Julius Peppers
DB Taushaun Gipson	WR John Brown	DB Antrel Rolle	DL Marcell Dareus	DB Charles Woodson	TE Julius Thomas	WR Eric Decker	RB Devonta Freeman
RB Ryan Mathews	RB TJ Yeldon	DL Chris Long	LB Anthony Barr	WR Doug Baldwin	QB Nick Foles	QB AJ McCarron	TE Coby Fleener
WR Jordy Nelson	RB Chris Ivory	DL Michael Johnson	LB Nigel Bradham	DL Greg Hardy	QB Alex Smith	RB LaMichael James	K Matt Prater
K Mason Crosby	WR Chris Matthews	K Justin Haushcka	K Justin Tucker	WR Terrence Williams	RB Tre Mason	K Dan Bailey	LB Dont'A Hightower
RB Kniles Davis	WR Nelson Agholor	RB Doug Martin	RB Shane Vereen	DB Haha Clinton Dix	WR Michael Crabtree	WR Lance Moore	LB Elvis Dumervil
WR Brandon LaFell	RB Charles Sims	RB Ronny Hillman	WR Kenny Stills	DL Corey Liuget	WR Larry Fitzgerald	LB Kyle Van Noy	RB Darren McFadden
WR Cody Latimer	RB Terrance West	DL Jelani Jenkins	RB Bishop Sankey	RB DeAngelo Williams	QB Josh McCown	QB Andy Dalton	WR Kendall Wright
